JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl;
"Sr. Customer Operations Program Manager,opentext,""Waterloo, ON"",27 days ago,2021-06-05,""The Senior Customer Operations Program Manager is a key contributor, driving strategies and initiatives that improve customer experience (CX) and operational…"",,https://ca.indeed.com/rc/clk?jk=0ae8096cfb67d6b5&fccid=c908408e676247d6&vjs=3";
"Senior Security Operations Engineer,Carta,""Waterloo, ON"",30+ days ago,2021-06-05,""This role is on the Security Operations team within Security. You will be working with the team to take on projects which gather telemetry from many sources,…"",,https://ca.indeed.com/rc/clk?jk=041bad2d8bfa9ec9&fccid=9e7dc185cb656f55&vjs=3";
"Senior Java Developer,EPAM Systems,""Waterloo, ON"",30+ days ago,2021-06-05,""We are looking for a Java Backend Engineer with a strong knowledge of Java, Web Services and Kubernetes. Design & Develop web backend solutions using industry…"",,https://ca.indeed.com/rc/clk?jk=f49487bc85b8ab8c&fccid=532afac41b2663f7&vjs=3";
"Project Director – Linear Infrastructure,GHD,""Waterloo, ON"",30+ days ago,2021-06-05,""Manage and assist in managing various projects working with project managers and senior engineers. Work directly with project managers, senior engineers and…"",,https://ca.indeed.com/rc/clk?jk=e65a1420f1fc547e&fccid=25b9aa55f7b71e5c&vjs=3";
"Sr. Compensation Analyst,opentext,""Waterloo, ON"",18 days ago,2021-06-05,""As a member of the Global Compensation team, the Sr. Compensation Analyst will be responsible for providing analytical and professional-level support in the…"",,https://ca.indeed.com/rc/clk?jk=c981c83e66944e21&fccid=c908408e676247d6&vjs=3";
"Senior Hardware Designer - Mechanical,Miovision,""Kitchener, ON"",29 days ago,2021-06-05,Miovision is building cutting-edge hardware to bring traffic infrastructure into the 21st century. Our hardware supports a revolutionary way to monitor and…,,https://ca.indeed.com/rc/clk?jk=ca40779c8e1bb93a&fccid=53148e4b5a41623b&vjs=3";
"Senior Technical Writer,PerkinElmer,""Guelph, ON"",30+ days ago,2021-06-05,""PerkinElmer’s Informatics solutions empower customers to gain critical insights from data analytics, accelerating informed decisions."",,https://ca.indeed.com/rc/clk?jk=4c89dda952608cb0&fccid=dedb01f1a81e63e6&vjs=3";
"Portfolio Manager, IT PMO (Software/ Application Projects),opentext,""Waterloo, ON"",17 days ago,2021-06-05,Establishing strong relationships with senior management rooted in trusted delivery and high quality results. The Portfolio Manager will support an IT portfolio…,,https://ca.indeed.com/rc/clk?jk=6d6e22a1f29ea131&fccid=c908408e676247d6&vjs=3";
"Senior Software Developer - Video,Geotab,""Waterloo, ON"",30+ days ago,2021-06-05,""Geotab’s open platform and Marketplace, offering hundreds of third-party solution options, allows both small and large businesses to automate operations by…"",,https://ca.indeed.com/rc/clk?jk=abd72d9108edccbd&fccid=31921a4bf53a6026&vjs=3";
"Senior Software Developer, NetSuite, Payroll,Oracle,""Kitchener, ON"",30+ days ago,2021-06-05,""Applicants are required to read, write, and speak the following languages: English. You'll build things people enjoy using and prevent them from going back to…"",,https://ca.indeed.com/rc/clk?jk=c046e558e8245a12&fccid=cd22d01053af7669&vjs=3";
"Senior Software Test Developer,D2L,""Kitchener, ON"",30+ days ago,2021-06-05,""The old models of teaching and learning are in the midst of the largest transformation in history, and D2L is at the heart of that fundamental shift."",,https://ca.indeed.com/rc/clk?jk=5e9539af410d6c90&fccid=d797af08f7544bdf&vjs=3";
"Sr Solutions Design & Mobile Software Developer,TD Bank,""Waterloo, ON"",30+ days ago,2021-06-05,""Creative and experimental, TD Lab is a unique team within TD Bank, operating out of the Communitech Hub in Kitchener (currently working remotely), solving…"",,https://ca.indeed.com/rc/clk?jk=ac26025870a4c73b&fccid=d7114f1cac8d0711&vjs=3";
"Senior Software Developer, Embedded Linux,Nuvation Research Corporation,""Waterloo, ON"",30+ days ago,2021-06-05,""Nuvation is looking for a talented, innovative Senior Software Developer, Embedded Linux, who successfully combines architecture skills, deep technical…"",,https://ca.indeed.com/rc/clk?jk=179ca067ea290dcb&fccid=e8433de777c6f2bd&vjs=3";
"Java Full Stack Developer III - Waterloo,NCR,""Waterloo, ON"",30+ days ago,2021-06-05,Engage in story grooming sessions to flush out requirements. Design and implement new features and functions for an exciting new omni-channel financial platform…,,https://ca.indeed.com/rc/clk?jk=cf29fd182ea4099b&fccid=50597ebf467edd46&vjs=3";
"Sr. Zuora IT Software Engineer,opentext,""Waterloo, ON"",17 days ago,2021-06-05,Lead our technical OpenText Zuora Billing initiatives. Play a key role in the Migration of internal and external systems and dataflows onto our Zuora…,,https://ca.indeed.com/rc/clk?jk=dc82ca7b0fb349f8&fccid=c908408e676247d6&vjs=3";
"Senior Controls Software Designer,ATS Automation Tooling Systems Inc.,""Cambridge, ON"",28 days ago,2021-06-05,""Design and develop world- class automation solutions by contributing to machine concepts, design of control software, integration of software with electrical…"",,https://ca.indeed.com/rc/clk?jk=41fc460129a64ff6&fccid=c24b48f7054267a0&vjs=3";
"Senior Software Developer, Product Lead – Software & Technology Development,Rodan Energy,""Kitchener-Waterloo, ON"",30+ days ago,2021-06-05,""Responsibilities include, however are not limited to improving operations by conducting system analysis, recommending changes and follow the full software…"",,https://ca.indeed.com/rc/clk?jk=81ead29593511efa&fccid=004c21babf510f39&vjs=3";
"Sr. Software Engineer,HP,""Kitchener, ON"",15 days ago,2021-06-05,""Ability to effectively communicate product architectures, design proposals and negotiate options at senior management levels."",,https://ca.indeed.com/rc/clk?jk=bdf9dcaa39dcb153&fccid=1b866506aec22461&vjs=3";
"Senior Mechanical Designer (Automation),ATS Automation Tooling Systems Inc.,""Cambridge, ON"",29 days ago,2021-06-05,""Perform engineering calculations with respect to strength of materials, speeds, horsepower, temperature, pressure, force, etc. as related to machine and tool…"",,https://ca.indeed.com/rc/clk?jk=01b8812dce8698bd&fccid=c24b48f7054267a0&vjs=3";
"Sr. DevOps Engineer (AWS, GCP),opentext,""Waterloo, ON"",16 days ago,2021-06-05,""The role Sr. Site Reliability Administrator is to build solutions to enhance availability, performance, and stability of OpenText services as well as automating…"",,https://ca.indeed.com/rc/clk?jk=707c41346aebf3c2&fccid=c908408e676247d6&vjs=3";
"Senior DevOps Engineer,Imagine Communications,""Waterloo, ON"",30+ days ago,2021-06-05,""Imagine offers a generous Medical, Dental, Vision and Life Insurance package and HSA and 401(k) options with company matching."",,https://ca.indeed.com/rc/clk?jk=f4b13fce26054f8f&fccid=403d4e7d25aedf69&vjs=3";
"Sr Medical Laboratory Technologist,Grand River Hospital,""Kitchener, ON"",30+ days ago,2021-06-05,""Reporting to the Integrated Laboratory Manager for Histology & Cytology, the Senior Technologist supports the daily operations of the Cytology department,."",,https://ca.indeed.com/rc/clk?jk=f25c39edaa20a132&fccid=a463ca7249c5270f&vjs=3";
"Senior Third Party Collection Agent,National Recovery Corp,""Kitchener-Waterloo, ON"",1 day ago,2021-06-05,""Deal with Inbound calls from account holders and assisting them with resolving their delinquent account. Perform a minimum amount of outbound calls, contacting…"",""$3,000 - $4,500 a month"",https://ca.indeed.com/company/National-Recovery-Corp/jobs/Senior-Third-Party-Collection-Agent-a0bcb24d811c8472?fccid=e9290e273834c078&vjs=3";
"Welder / Fitter – Level III,Melitron Corporation,""Guelph, ON"",30+ days ago,2021-06-05,The MIG welding department utilizing best-in-class Fronius machines and Panasonic robotic weld cells plays an integral role in daily production activities.,,https://ca.indeed.com/rc/clk?jk=521d4ee7c7b06656&fccid=00f1f01041d0e25b&vjs=3";
"Senior Software Developer (AWS),Xylem,""Guelph, ON"",30+ days ago,2021-06-05,""The Role: The ideal candidate will work on website and desktop software development projects as part of a cross-functional, remote Agile team."",,https://ca.indeed.com/rc/clk?jk=5675c23d60546347&fccid=68ec8a8ee6cf5ac6&vjs=3";
"Sr. Tech Staff Eng-Software,Microchip Careers,""Kitchener, ON"",19 days ago,2021-06-05,""Our product portfolio comprises general purpose and specialized 8-bit, 16-bit, and 32-bit microcontrollers, 32-bit microprocessors, field-programmable gate…"",,https://ca.indeed.com/rc/clk?jk=bcdd84847682b628&fccid=33a30962be2d35d3&vjs=3";
"Senior Buyer,Golden Windows Ltd,""Kitchener, ON"",2 days ago,2021-06-05,""The Senior Buyer, under the direction of the Purchasing Manager, provides purchasing support to Golden Windows to ensure that materials required for production…"",""$57,647 - $70,457 a year"",https://ca.indeed.com/company/Golden-Windows-Limited/jobs/Senior-Buyer-c0e45f6ba09f3062?fccid=22825a098fe829c8&vjs=3";
"Senior Technical Support Specialist,Gore Mutual Insurance Company,""Cambridge, ON"",1 day ago,2021-06-05,Provide end-user technical support and assistance for all applications and IT issues. Maintain close relationships with Gore’s Cloud and Data engineers and…,""$70,000 - $85,000 a year"",https://ca.indeed.com/company/GORE-MUTUAL-INSURANCE-COMPANY/jobs/Senior-Technical-Support-Specialist-7f623d4489d29cd6?fccid=246b913db379ea91&vjs=3";
"Senior Technician,Chung & Vander Doelen Engineering Ltd.,""Kitchener, ON"",Just posted,2021-06-05,Performing construction inspections and quality control/assurance testing for various construction projects. Carry out roofing and building envelope inspections…,,https://ca.indeed.com/company/Chung-&-Vander-Doelen-Engineering-Ltd./jobs/Senior-Technician-1e040615e46ac232?fccid=aa1d2ad25adf347c&vjs=3";
"Senior Accountant,Process Group Inc.,""Cambridge, ON"",1 day ago,2021-06-05,""An outstanding senior accountant should also possess strong Excel skills, be detail-oriented, highly organized, and able to work with little to no supervision…"",""$60,000 - $75,000 a year"",https://ca.indeed.com/company/Process-Group-Inc./jobs/Senior-Accountant-67007d40b72f01d8?fccid=b745d6e94a52b4e9&vjs=3";
"Senior Client Manager,Inkblot Therapy,""Kitchener-Waterloo, ON"",1 day ago,2021-06-05,""Manage a portfolio of mid, large and enterprise clients with objective of building and maintaining strong, long-lasting customer relationships."",,https://ca.indeed.com/company/Inkblot-Therapy/jobs/Senior-Client-Manager-a0415293f53c1cca?fccid=f7a2bf8837f9a6f9&vjs=3";
Senior Administrative Assistant (Part-time Permanent;" 24-30 hours per week),CSL Silicones Inc.,""Guelph, ON"",4 days ago,2021-06-05,""Providing administrative support to senior level leadership: 3 years (preferred). Proven track record of effectively interacting with senior executives,…"",,https://ca.indeed.com/company/CSL-Silicones-Inc./jobs/Senior-Administrative-Assistant-fea269581fb1ca1d?fccid=5d8efa237831bf1f&vjs=3"
"Senior Front End Developer,NAVBLUE Inc.,""Waterloo, ON"",4 days ago,2021-06-05,Able to break down complex problems into manageable pieces and make progress with moderate supervision of senior team members. Temporarily due to COVID-19.,,https://ca.indeed.com/company/NAVBLUE/jobs/Senior-Front-End-Developer-b19d1181820512cb?fccid=0e95454f65153044&vjs=3";
"Senior Lending Manager,Kindred Credit Union,""Kitchener, ON"",10 days ago,2021-06-05,As a full-time Senior Lending Manager in our Head Office. The Senior Lending Manager is responsible for providing oversight to and risk management of the…,""$76,000 - $95,000 a year"",https://ca.indeed.com/rc/clk?jk=8b492f78f6619bb9&fccid=f330870c9555bdac&vjs=3";
"Senior Purchaser - Cannabis,JWC,""Kitchener, ON"",30+ days ago,2021-06-05,""Reporting to the Head of Supply Chain, the Buyer is directly responsible for managing the purchasing activities that drives towards the strategic goals of the…"",""$55,000 - $65,000 a year"",https://ca.indeed.com/company/JWC/jobs/Senior-Purchaser-3a3968a455f010d8?fccid=8c87881593f1a7b0&vjs=3";
"Senior Client Relationship Manager,MINIMAX EXPRESS TRANSPORTATION,""Kitchener, ON"",30+ days ago,2021-06-05,Mid-sized LTL transportation provider requires experienced Sales person for south western Ontario. Must have familiarity with the Ontario and Quebec LTL…,""$60,000 a year"",https://ca.indeed.com/company/MINIMAX-EXPRESS/jobs/Senior-Client-Relationship-Manager-c7af48cf113c6ad2?fccid=409a579f27fe37ac&vjs=3";
"Senior Actuarial Analyst,Heartland Farm Mutual Inc.,""Waterloo, ON"",2 days ago,2021-06-05,Perform research and data analysis on all information needs relating to all business segments of the company. Maintain all pricing algorithms of the company.,,https://ca.indeed.com/rc/clk?jk=87fc16d59b1a08f7&fccid=a45ec34697774b3f&vjs=3";
"Sr. Financial Analyst,Part Time CFO Services Inc.,""Kitchener-Waterloo, ON"",10 days ago,2021-06-05,""Monitor and continue to develop KPI, metrics and management reports to guide senior management team in business decisions. Temporarily due to COVID-19."",,https://ca.indeed.com/company/Part-Time-CFO-Services-Inc./jobs/Senior-Financial-Analyst-741f0b68414976e5?fccid=fd958892901d75e8&vjs=3";
"Senior Life Administrator,Equitable Life of Canada,""Waterloo, ON"",10 days ago,2021-06-05,""Provide superior customer service by receiving and assessing inquiries and taxation requests from policyholders/brokers, responding to concerns, providing…"",,https://ca.indeed.com/company/Equitable-Life-of-Canada/jobs/Senior-Life-Administrator-b45852809a97c78d?fccid=ac28bc2d58529cfc&vjs=3";
"Senior Security Consultant (Hardware),NCC Group,""Waterloo, ON"",30+ days ago,2021-06-05,""This role may be appropriate for new hires with extensive security consulting experience or those who can immediately contribute at a senior level, but…"",,https://ca.indeed.com/rc/clk?jk=7395b3a88c13f617&fccid=ff8ede93f50d155c&vjs=3";
"Senior Manager International Tax,KPMG,""Waterloo, ON"",28 days ago,2021-06-05,Working closely with other members of our team as a senior team member on various international tax advisory projects involving Canadian foreign affiliates.,,https://ca.indeed.com/rc/clk?jk=bc217dff172c9337&fccid=2dd390c3a48a7ed0&vjs=3";
"Senior Cloud Developer,Magnet Forensics,""Waterloo, ON"",30+ days ago,2021-06-05,""We build software that automates the recovery of digital forensic evidence, helping thousands of forensics professionals around the world find, analyze, and…"",,https://ca.indeed.com/rc/clk?jk=f8ec298199470a17&fccid=c48e0ab625aa6389&vjs=3";
"Senior Digital Artist - 3D Generalist,GHD,""Waterloo, ON"",30+ days ago,2021-06-05,""The ideal candidate will be a creative and technical artist able to create engaging digital solutions, including 3D models, animation, illustrations,…"",,https://ca.indeed.com/rc/clk?jk=d436b4173aca1439&fccid=25b9aa55f7b71e5c&vjs=3";
"Technician IV – HVAC/Refrigeration - Apprentice,BGIS,""Waterloo, ON"",30+ days ago,2021-06-05,The Technician IV - HVAC Apprentice holds a valid Certificate of Qualification issued by the province in which the work is performed.,,https://ca.indeed.com/rc/clk?jk=da1e831b4a5c93d1&fccid=84c23fbcabc14d59&vjs=3";
"Senior Electrical Engineer,Stantec,""Waterloo, ON"",30+ days ago,2021-06-05,""The buildings that make up the landscape of our daily lives seem like permanent fixtures, fastened to a time and place. Travel : Yes, 10 % of the Time."",,https://ca.indeed.com/rc/clk?jk=d70813b9f2e21da0&fccid=f1582c464db8553b&vjs=3";
"Senior Financial Analyst,LifeLearn,""Guelph, ON"",29 days ago,2021-06-05,""LifeLearn is seeking a curious, dynamic, detail- and business-oriented Senior Financial Analyst (SFA) to support the business cross-functionally."",,https://ca.indeed.com/rc/clk?jk=f510acbd139a2859&fccid=c2785e59f743e9df&vjs=3";
"Senior FPGA Hardware Designer,Molex,""Waterloo, ON"",30+ days ago,2021-06-05,""As a member of the Platform Development Team, you will become a member of a team of FPGA designers bringing the technical knowledge necessary to develop…"",,https://ca.indeed.com/rc/clk?jk=61b69a88def2df82&fccid=de113fe345574782&vjs=3";
"Senior Software Engineer,Carta,""Waterloo, ON"",30+ days ago,2021-06-05,""As a member of the team you will be responsible for architecting, designing and coding highly available, secure, and scalable services and applications using a…"",,https://ca.indeed.com/rc/clk?jk=d0ab5903d97155de&fccid=9e7dc185cb656f55&vjs=3";
"Senior Hardware Designer - Electrical,Miovision,""Kitchener, ON"",30+ days ago,2021-06-05,We’re looking for a Senior Hardware Designer to join our Electrical Team and drive all stages of product development. Participate in the design review process.,,https://ca.indeed.com/rc/clk?jk=86343fe31b36096f&fccid=53148e4b5a41623b&vjs=3";
"Senior Sales Manager,TIGER Drylac Canada,""Guelph, ON"",3 days ago,2021-06-05,Responsible for achieving budgeted sales targets and overall business development through active leadership of regional sales team.,,https://ca.indeed.com/company/Tiger-Drylac-Canada/jobs/Senior-Sales-Manager-8e59adb93f05e4d4?fccid=d70ef7119bdb3813&vjs=3";
"Senior Software Engineer - 05/04/21,Acerta Analytics Solutions Inc,""Kitchener, ON"",Today,2021-06-05,""We are looking for a senior software engineer capable of dabbling in both backend and data infrastructure, with a passion for innovation."",""$100,000 - $120,000 a year"",https://ca.indeed.com/rc/clk?jk=f2bb6267bc823e66&fccid=60243b7c439e1cdd&vjs=3";
"Senior Project Manager,RideCo,""Waterloo, ON"",30+ days ago,2021-06-05,""Facilitate communication and coordination between project stakeholders including transit planners, senior management, marketing, and operations staff."",""$90,000 - $130,000 a year"",https://ca.indeed.com/rc/clk?jk=16c018bc975483ac&fccid=e04c335ad3aed20a&vjs=3";
"Senior Production Support Analyst,Equitable Life of Canada,""Waterloo, ON"",30+ days ago,2021-06-05,""Reports to: Director, S&R Administration and Operations. In this role you’ll act as a key consultant and Subject Matter Expert (SME) for the S&R division where…"",,https://ca.indeed.com/rc/clk?jk=a8e19f72633b27b5&fccid=ac28bc2d58529cfc&vjs=3";
"Senior Quality Analyst,Jobvite,""Kitchener, ON"",30+ days ago,2021-06-05,We enable recruitment teams to personalize the candidate experience with a full-scale talent platform that accelerates and simplifies the entire talent…,,https://ca.indeed.com/rc/clk?jk=7767e200a0922477&fccid=e0da7cb10b988708&vjs=3";
"Senior Accountant, A&A,BDO,""Cambridge, ON"",2 days ago,2021-06-05,""Efficiently prepare year-end engagements and tax returns for your clients in a variety of industries. Perform audits, prepare working papers and financial…"",,https://ca.indeed.com/rc/clk?jk=fe0f5cfb44966634&fccid=3639654bd4055c70&vjs=3";
"Senior IT Infrastructure Analyst,GORE MUTUAL INSURANCE COMPANY,""Cambridge, ON"",30+ days ago,2021-06-05,The Senior IT Infrastructure Analyst is responsible to ensure that the company’s Information Technology infrastructure and processes operate in a manner that…,,https://ca.indeed.com/company/GORE-MUTUAL-INSURANCE-COMPANY/jobs/Senior-IT-Infrastructure-Analyst-299edd620edad2f5?fccid=246b913db379ea91&vjs=3";
"Senior Actuarial Analyst,Gore Mutual Insurance,""Cambridge, ON"",16 days ago,2021-06-05,""Working with an experienced team of actuaries and technical leaders, we are looking for a Senior Actuarial Analyst who loves all things data, can offer a unique…"",,https://ca.indeed.com/rc/clk?jk=9a07c2a44cc30760&fccid=246b913db379ea91&vjs=3";
"Senior Data Engineer - 03/11/21,Acerta Analytics Solutions Inc,""Kitchener, ON"",14 days ago,2021-06-05,Work closely with cross-functional technical teams to architect and build the necessary infrastructure required for scalable and efficient Data Pipelines to…,""$100,000 - $120,000 a year"",https://ca.indeed.com/rc/clk?jk=cf8dbe23fa4514e5&fccid=60243b7c439e1cdd&vjs=3";
"Fractional CTO / Senior Software Development Lead -- REMOTE,NuBinary Inc,""Kitchener, ON"",30+ days ago,2021-06-05,""Currently, we are looking for senior tech leads with previous experience being CTO, VP of Engineering, or similar positions leading tech teams in startups."",$100 - $200 an hour,https://ca.indeed.com/company/NuBinary-Inc/jobs/Fractional-CTO-b876fb9a9b21b408?fccid=3960b75e60be16c6&vjs=3";
"Senior FPGA Designer,Nuvation,""Waterloo, ON"",26 days ago,2021-06-05,""Nuvation is looking for a talented, innovative Senior FPGA Designer, who successfully combines architecture skills, deep technical expertise, and project…"",,https://ca.indeed.com/company/Nuvation-Research-Corporation/jobs/Senior-Fpga-Designer-5f1baef65e284c54?fccid=39583c7e2bdd5115&vjs=3";
"Senior Project Technician - IT,F12.net,""Cambridge, ON"",15 days ago,2021-06-05,""Be the true visionary and bring to life all phases throughout the technical onboarding process. Beginning from project conception to the follow-up, this role…"",,https://ca.indeed.com/company/F12.net/jobs/Senior-Project-Technician-944c90d51f0e1170?fccid=21dfa3312b248100&vjs=3";
"Senior PLC Programmer,Spark Power Corp,""Cambridge, ON"",4 days ago,2021-06-05,""A PLC Programmer is tasked with the design, programming and commissioning of automation solutions, as well as troubleshooting, servicing and debugging of…"",,https://ca.indeed.com/rc/clk?jk=c6bbf2b95e2a14b8&fccid=5ccb56c7f90c156a&vjs=3";
"Senior LIMS Business Analyst (#2021-14),Labstat International Inc.,""Kitchener, ON"",30+ days ago,2021-06-05,""Established in 1976 as a tobacco characterization laboratory, Labstat has evolved into a globally recognized analytical laboratory dedicated to research,…"",,https://ca.indeed.com/company/Labstat-International-Inc./jobs/Senior-Lims-Business-Analyst-0d4625a95859e5a3?fccid=6894fa2e83fabb4a&vjs=3";
"Senior Operations Business Analyst,AirBoss of America Corp.,""Kitchener, ON"",30+ days ago,2021-06-05,""Reporting to the Manager, ERP Systems, the Senior Operations Business Analyst supports the implementation of high quality, scalable and cost-effective business…"",,https://ca.indeed.com/rc/clk?jk=2e34fc12f431e783&fccid=293718897fd9eee7&vjs=3";
"Senior Cost Estimator - Commercial Painting,Central Painting Inc.,""Kitchener-Waterloo, ON"",4 days ago,2021-06-05,""Prepare and/or coordinate the preparation of full cost estimates on conceptual, design-build or general tender work. May be responsible for “closing the sale”."",""$55,000 - $75,000 a year"",https://ca.indeed.com/company/Central-Painting-Inc./jobs/Senior-Cost-Estimator-5d8fb05c7db1522e?fccid=23d9b0c9cdc04d23&vjs=3";
"Senior Software Developer (P0248b),IMS - Insurance and Mobility Solutions,""Waterloo, ON"",30+ days ago,2021-06-05,As a Software Developer you will be skilled at developing cutting edge web applications using the components of . Execute full lifecycle software development.,,https://ca.indeed.com/rc/clk?jk=3779a3cc1ed1c929&fccid=79e3a6141688d1fe&vjs=3";
"Sr. Chef de Partie (Pastry),Langdon Hall,""Cambridge, ON"",Today,2021-06-05,Signing Bonus: $500 (payable 3 months after start date). Anniversary Bonus: $2000 (payable on 2nd anniversary and on every anniversary after that).,$19.60 an hour,https://ca.indeed.com/company/Langdon-Hall-Country-House-Hotel-&-Spa/jobs/Senior-Chef-De-Partie-8e970c53d3325b8d?fccid=21c182ef79096e5f&vjs=3";
"Senior Full Stack Developer,Focus21 Inc.,""Kitchener, ON"",30+ days ago,2021-06-05,""Benefits (Health, Dental, etc..) package. Review and analyze system specifications. Being an outstanding team member who is honest, empathetic, and caring."",""$75,000 - $90,000 a year"",https://ca.indeed.com/company/Focus21-Inc./jobs/Senior-Full-Stack-Developer-43542a8c61932785?fccid=3782636feff6e204&vjs=3";
"Senior Management Information Analyst,Heartland Farm Mutual Inc.,""Waterloo, ON"",30+ days ago,2021-06-05,Provide Management information insights to senior business leaders. There is an immediate need for a Senior Management Information Analyst who will be…,,https://ca.indeed.com/rc/clk?jk=cc1426708dfffe11&fccid=a45ec34697774b3f&vjs=3";
"Senior Business Data Analyst,""Social Solutions Global, Inc."",""Waterloo, ON"",30+ days ago,2021-06-05,""As Senior Business Data Analyst, reporting to the Manager of Tailored Services, you will work with Social Solution’s clients and internal teams to develop…"",,https://ca.indeed.com/rc/clk?jk=0d148cdcd9ef5df1&fccid=f506b4bae016196e&vjs=3";
"Senior Human Resources Generalist - 14 Month Contract,GFL Environmental,""Kitchener, ON"",10 days ago,2021-06-05,The Sr. HR Generalist establishes ‘high-functioning’ partnerships with an assigned set of business groups and its senior leaders and managers to develop and…,,https://ca.indeed.com/company/GFL-Environmental/jobs/Senior-Human-Resource-Generalist-67a3c469e2ccefdb?fccid=35d1d37f6fac0933&vjs=3";
"Senior Developer and Analyst (C#.NET, SQL),Equitable Life of Canada,""Waterloo, ON"",30+ days ago,2021-06-05,""Engage and collaborate closely with our business partners, senior ECM team members and other IT groups to successfully design and implement quality integrated…"",,https://ca.indeed.com/rc/clk?jk=cd1357f14853bdfc&fccid=ac28bc2d58529cfc&vjs=3";
"Senior QA Engineer,MakeSpace,""Waterloo, ON"",30+ days ago,2021-06-05,""To support this seamless experience, we built the industry's first fully integrated system, from back-end routing to warehouse logistics, and a consumer app…"",,https://ca.indeed.com/rc/clk?jk=3666e408bd95dda2&fccid=83d34efd4026533f&vjs=3";
"Senior Vice President, Individual,Equitable Life of Canada,""Waterloo, ON"",30+ days ago,2021-06-05,15+ years of broad based leadership at a senior level in a well-respected life insurance business"; ideally with 5+ years’ experience in Individual insurance.,,https://ca.indeed.com/rc/clk?jk=8b6cc5a866fbf64a&fccid=ac28bc2d58529cfc&vjs=3
"Senior Estimator,Cambridge Drywall Services,""Cambridge, ON"",16 days ago,2021-06-05,Responsible for clear communication to project managers and senior estimators. Prepare quantity take offs using computer software.,,https://ca.indeed.com/company/Cambridge-Drywall-Services/jobs/Senior-Estimator-fd5f6c0c67f89b60?fccid=254e4330b1f5a712&vjs=3";
"Senior Software Developer,HALIGHT Inc.,""Waterloo, ON"",11 days ago,2021-06-05,""If you’ve got the HALIGHT gene, you probably have an itch for ideation, a push for progress, and thrive in fast-paced, evolving environments."",,https://ca.indeed.com/company/HALIGHT-Inc./jobs/Senior-Software-Developer-3326663dedd9ffe7?fccid=5fd707411dcc37e4&vjs=3";
"Senior Mobile Web App Developer,CloudHawk,""Waterloo, ON"",3 days ago,2021-06-05,Build for an IoT platform with unmatched mobile hardware and engineering capability. Innovate mobile app UX with our team who loves to think different and see…,,https://ca.indeed.com/company/CloudHawk/jobs/Senior-Mobile-Web-Application-Developer-49be2bbcf303cb9d?fccid=eb3217e07e50fe2e&vjs=3";
"Sr. Project Coordinator/ Jr. Project Manager,GATEMAN MILLOY,""Kitchener, ON"",9 days ago,2021-06-05,A Sr. Project Coordinator / Jr. Project Manager provides assistance to the Senior Project Managers in the administration of civil construction projects and may…,""$60,000 - $70,000 a year"",https://ca.indeed.com/company/Gateman-Milloy/jobs/Senior-Project-Coordinator-0c167414c705cacc?fccid=60d76b6851878789&vjs=3";
"Senior ClaimCare Advisor, AB,Gore Mutual Insurance,""Cambridge, ON"",2 days ago,2021-06-05,""Our Accident Benefits team is looking for an experienced Adjuster to join the team. In this role, you will investigate, evaluate, and settle moderate to high…"",,https://ca.indeed.com/rc/clk?jk=7e754ffa99195470&fccid=246b913db379ea91&vjs=3";
"Senior Software Engineer,Sandvine,""Waterloo, ON"",15 days ago,2021-06-05,""As part of our team, you will design, develop, test and maintain a variety of software that runs on our high performance platform."",,https://ca.indeed.com/rc/clk?jk=2afaf3af0b008b4d&fccid=4e7fb77b1d807196&vjs=3";
"Senior Electrical Engineer (Transformers),Hammond Power Solutions,""Guelph, ON"",11 days ago,2021-06-05,""Reporting to the Engineering Manager, the Senior Electrical Engineer is responsible for the direct design of transformers of medium and high complexity."",""$80,000 - $90,000 a year"",https://ca.indeed.com/company/Hammond-Power-Solutions/jobs/Senior-Electrical-Engineer-a75b0920c0dbe02a?fccid=b6d20241b00c4dae&vjs=3";
"IT Project Analyst,F12.net,""Cambridge, ON"",15 days ago,2021-06-05,Act as a senior resource to complete escalated tickets from other team members. The Project Analyst is the expert resource for the Project Team.,,https://ca.indeed.com/company/F12.net/jobs/IT-Project-Analyst-8d6fce428024d6a8?fccid=21dfa3312b248100&vjs=3";
"Senior Data Developer (#2021-15),Labstat International Inc.,""Kitchener, ON"",30+ days ago,2021-06-05,This is a senior level position and involves responsibilities build an enterprise database platform to support our current state as well as future state roadmap…,,https://ca.indeed.com/company/Labstat-International-Inc./jobs/Senior-Data-Developer-8b6399a3ed2ae5d4?fccid=6894fa2e83fabb4a&vjs=3";
"Senior Software Engineer, Integrations,Jobvite,""Kitchener, ON"",11 days ago,2021-06-05,We enable recruitment teams to personalize the candidate experience with a full-scale talent platform that accelerates and simplifies the entire talent…,,https://ca.indeed.com/rc/clk?jk=9b283068c34896ff&fccid=e0da7cb10b988708&vjs=3";
"Senior Accountant, Audit & Assurance,BDO,""Waterloo, ON"",21 days ago,2021-06-05,""Efficiently prepare year-end engagements and tax returns for your clients in a variety of industries. Perform audits, prepare working papers and financial…"",,https://ca.indeed.com/rc/clk?jk=2ab714cd882fa344&fccid=3639654bd4055c70&vjs=3";
