JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl;
"Senior Manager, Media Relations and Issues Management,University of Waterloo,""Waterloo, ON"",2 days ago,2021-06-05,""Maintain strong relationships with university faculty, researchers and senior administration. Proactively engages in the first stages of a developing issue or…"",,https://ca.indeed.com/rc/clk?jk=1a62d6137301cd0d&fccid=5bcffa6277080afe&vjs=3";
"Senior CX Design Strategy Consultant,Sun Life Financial,""Waterloo, ON"",30+ days ago,2021-06-05,Design Strategy Consultant is responsible for taking a client centric view to define and design journeys to help our Clients achieve lifetime financial security…,,https://ca.indeed.com/rc/clk?jk=99e05b9944708c7b&fccid=618943d89d0005a6&vjs=3";
"Senior Customer Experience Associate - Clairfields Centre, Guelph (37.5 hours),Scotiabank,""Guelph, ON"",4 days ago,2021-06-05,Acting as a lobby leader"; ensuring customers are appropriately triaged and/or assisted. Contributing to the Branch’s targets by identifying and fulfilling…,,https://ca.indeed.com/rc/clk?jk=0580d937690c1dff&fccid=3002307a9e5b4706&vjs=3
"Senior Java Developer - Waterloo,KLM Careers,""Waterloo, ON"",10 days ago,2021-06-05,Looking for either locals or those who would be willing to relocate (probably back to the office in 3-9 months). Client will cover relocation expenses.,,https://ca.indeed.com/rc/clk?jk=50b4d0af5e203221&fccid=f42bbfc261ca3e64&vjs=3";
"Senior Premier Relationship Manager,HSBC,""Waterloo, ON"",30+ days ago,2021-06-05,""The role is client focussed managing our highest value clients where professionalism, client focus and a broad understanding of the fundamentals of financial…"",,https://ca.indeed.com/rc/clk?jk=4da32b8a423065a8&fccid=04c9b139c84ea1b5&vjs=3";
"Senior Heavy Equipment Operator,Activa,""Waterloo, ON"",30+ days ago,2021-06-05,""Job Type: Full-Time, Permanent. Reports To: Operations Supervisor, Sunset Excavation. Reporting to the Excavation Manager, the Senior Operator is primarily…"",,https://ca.indeed.com/rc/clk?jk=9aaeb4d304e6bf09&fccid=fe1feccf350d1cb2&vjs=3";
"Senior Accountant, Audit - Enterprise,KPMG,""Waterloo, ON"",17 days ago,2021-06-05,KPMG's Audit practice helps clients manage risk so they can focus on their core businesses. Apply KPMG's audit and accounting practices and methodologies at…,,https://ca.indeed.com/rc/clk?jk=db04b307017faf9c&fccid=2dd390c3a48a7ed0&vjs=3";
"Senior ServiceNow Developer,opentext,""Waterloo, ON"",5 days ago,2021-06-05,This position involves being part of a dynamic team environment responsible for the ServiceNow systems at OpenText. Build custom widgets as required.,,https://ca.indeed.com/rc/clk?jk=32d0e0530997de6a&fccid=c908408e676247d6&vjs=3";
"Sr. A/P Specialist,opentext,""Waterloo, ON"",9 days ago,2021-06-05,""Reporting to the Manager, Accounts Payable, the Sr. AP Specialist – Payments, is an integral role in delivering Accounts Payable excellence in the Source to Pay…"",,https://ca.indeed.com/rc/clk?jk=3c4c19fe48481966&fccid=c908408e676247d6&vjs=3";
"Senior Internal Auditor,Sun Life Financial,""Waterloo, ON"",30+ days ago,2021-06-05,Internal Audit contributes to the long-term competitive advantage of the company through the execution of high quality and efficient audit services that help…,,https://ca.indeed.com/rc/clk?jk=bd724ca3d2be2e67&fccid=618943d89d0005a6&vjs=3";
"Senior React Developer - Waterloo,KLM Careers,""Waterloo, ON"",10 days ago,2021-06-05,Looking for either locals or those who would be willing to relocate (probably back to the office in 3-9 months). Client will cover relocation expenses.,,https://ca.indeed.com/rc/clk?jk=ace6d420e07ee1f4&fccid=f42bbfc261ca3e64&vjs=3";
"Senior Program Manager,McAfee,""Waterloo, ON"",8 days ago,2021-06-05,""The Program Manager Manages programs of large (may be global) scope, impact and complexity through all phases of the lifecycle."",,https://ca.indeed.com/rc/clk?jk=27b52b4e088e3ad8&fccid=800f11c47014effe&vjs=3";
"Senior Financial Analyst,Sun Life Financial,""Waterloo, ON"",8 days ago,2021-06-05,Canadian and Financial Operations are operational support units within Sun Life Financial Canada accountable for the execution of business processes and…,,https://ca.indeed.com/rc/clk?jk=a1e64c17ec5b67e7&fccid=618943d89d0005a6&vjs=3";
